stage_number,stage_name,primary_function,metric_1_name,metric_1_value,metric_2_name,metric_2_value,metric_3_name,metric_3_value,diagnostic_notes
1,Stage 1: Extractor A (Cold OCR),Cold transcription of handwritten text & scratch-out token tracking,Mean Character Error Rate (CER),8.8800,Mean Word Error Rate (WER),10.2972,Average Transcribed Word Count,1022.4,Detected 0 strike-out tokens across 141 tasks.
2,Stage 2: Rubric Aligner,Determines whether student answered alternative prompt requiring rubric adaptation,Standard Alignment Rate (KEEP %),100.0%,Repair Decisions (REPAIR),0,Adaptation Decisions (ADAPT),0,"KEEP: 141, REPAIR: 0, ADAPT: 0"
3,Stage 3: Extractor B (Reference-Primed OCR),Reference-assisted OCR pass resolving ambiguous strokes with benefit of doubt,Mean Character Error Rate (CER),8.8794,Mean Word Error Rate (WER),10.2931,Total Tokens Resolved via Reference,105,Disambiguated 105 handwriting tokens using prompt & rubric context.
4,Stage 4: OCR Supervisor (Adjudicated OCR),Multimodal visual referee validating Candidate A vs Candidate B against original scan,Mean Character Error Rate (CER),8.8794,Mean Word Error Rate (WER),10.2931,WER Reduction vs Cold OCR (%),0.04%,Authoritative adjudicated OCR transcription established for Chief Examiner.
5,Stage 5: Chief Examiner (Rubric v2),Allocates 4 sub-scores based on rubric_v2.txt criteria,Mean Examiner Raw Score,5.58,4-Criterion Evaluation Completeness,100.0%,Feedback Generation Rate,100.0%,"Scored Context, Structure, Language, and Originality sub-scores for each response."
6,Stage 6: Compressor (Audit & Cap Enforcement),"Deterministic mathematical audit, sum verification, and hard cap enforcement",Arithmetic Sum-Check Pass Rate,85.1%,Hard Caps Enforced,24,Performance Band Integrity Check,100.0%,"Enforced mandatory score ceilings (Graph_External_Facts, Paragraph_Subdivisions, etc.)."
