"run_id","exam_set","script_id","model_id","provider","thinking_level","pages_sent","input_tokens","output_tokens","cost_usd","latency_ms","attempt_number","http_status","timestamp"
"SE_06_Q1_0001-0","SE_06_Q1","SE_06_Q1_0001","gemma-4-31b-it","gemini","medium","11","5830","1972","0.0011746","835875","1","200","2026-09-17T03:55:23.394254+00:00"
"SE_06_Q1_0002-0","SE_06_Q1","SE_06_Q1_0002","gemma-4-31b-it","gemini","medium","7","4798","1891","0.0010471","236266","1","200","2026-09-17T03:45:23.001408+00:00"
"SE_06_Q1_0003-0","SE_06_Q1","SE_06_Q1_0003","gemma-4-31b-it","gemini","medium","16","7120","2715","0.0015265","400171","1","200","2026-09-17T03:48:08.045315+00:00"
"SE_06_Q1_0004-0","SE_06_Q1","SE_06_Q1_0004","gemma-4-31b-it","gemini","medium","8","5056","1585","0.0009811","1051342","4","200","2026-09-17T03:58:58.072942+00:00"
"SE_06_Q1_0005-0","SE_06_Q1","SE_06_Q1_0005","gemma-4-31b-it","gemini","medium","14","6604","2259","0.0013381","1174421","3","200","2026-09-17T04:01:02.269276+00:00"
"SE_06_Q1_0006-0","SE_06_Q1","SE_06_Q1_0006","gemma-4-31b-it","gemini","medium","13","6346","2672","0.0014361999999999999","305750","1","200","2026-09-17T03:46:33.393672+00:00"
"SE_06_Q1_0007-0","SE_06_Q1","SE_06_Q1_0007","gemma-4-31b-it","gemini","medium","10","5572","2740","0.0013792","840359","2","200","2026-09-17T03:55:27.227980+00:00"
"SE_06_Q1_0008-0","SE_06_Q1","SE_06_Q1_0008","gemma-4-31b-it","gemini","medium","16","7120","2898","0.0015814","1138030","2","200","2026-09-17T04:00:25.894446+00:00"
"SE_06_Q1_0009-0","SE_06_Q1","SE_06_Q1_0009","gemma-4-31b-it","gemini","medium","17","7378","3008","0.0016402","510109","2","200","2026-09-17T03:49:57.991454+00:00"
"SE_06_Q1_0010-0","SE_06_Q1","SE_06_Q1_0010","gemma-4-31b-it","gemini","medium","17","7378","2858","0.0015952","576671","1","200","2026-09-17T03:51:04.537304+00:00"
"SE_06_Q1_0011-0","SE_06_Q1","SE_06_Q1_0011","gemma-4-31b-it","gemini","medium","15","6862","2513","0.0014401000000000001","412203","1","200","2026-09-17T03:48:20.111364+00:00"
"SE_06_Q1_0012-0","SE_06_Q1","SE_06_Q1_0012","gemma-4-31b-it","gemini","medium","8","5056","2544","0.0012688","383453","2","200","2026-09-17T03:47:50.932564+00:00"
"SE_06_Q1_0013-0","SE_06_Q1","SE_06_Q1_0013","gemma-4-31b-it","gemini","medium","15","6862","2760","0.0015142","1123297","2","200","2026-09-17T04:00:11.193727+00:00"
"SE_06_Q1_0014-0","SE_06_Q1","SE_06_Q1_0014","gemma-4-31b-it","gemini","medium","14","6604","2601","0.0014407","586515","2","200","2026-09-17T03:51:14.406934+00:00"
"SE_06_Q1_0015-0","SE_06_Q1","SE_06_Q1_0015","gemma-4-31b-it","gemini","medium","18","7636","2517","0.0015187","492375","1","200","2026-09-17T03:49:40.317048+00:00"
"SE_06_Q1_0016-0","SE_06_Q1","SE_06_Q1_0016","gemma-4-31b-it","gemini","medium","16","7120","2378","0.0014253999999999998","454890","1","200","2026-09-17T03:49:02.785300+00:00"
"SE_06_Q1_0017-0","SE_06_Q1","SE_06_Q1_0017","gemma-4-31b-it","gemini","medium","12","6088","3086","0.0015346000000000001","356530","1","200","2026-09-17T03:51:19.591842+00:00"
"SE_06_Q1_0018-0","SE_06_Q1","SE_06_Q1_0018","gemma-4-31b-it","gemini","medium","17","7378","2665","0.0015373000000000001","450562","3","200","2026-09-17T03:54:04.087933+00:00"
"SE_06_Q1_0019-0","SE_06_Q1","SE_06_Q1_0019","gemma-4-31b-it","gemini","medium","17","7378","2595","0.0015163","306407","1","200","2026-09-17T03:52:57.485485+00:00"
"SE_06_Q1_0020-0","SE_06_Q1","SE_06_Q1_0020","gemma-4-31b-it","gemini","medium","18","7636","2775","0.0015961","342202","1","200","2026-09-17T03:53:50.383577+00:00"
"SE_06_Q1_0021-0","SE_06_Q1","SE_06_Q1_0021","gemma-4-31b-it","gemini","medium","11","5830","1824","0.0011302","790532","4","200","2026-09-17T04:01:30.726086+00:00"
"SE_06_Q1_0022-0","SE_06_Q1","SE_06_Q1_0022","gemma-4-31b-it","gemini","medium","13","6346","2406","0.0013564","784687","5","200","2026-09-17T04:02:07.607206+00:00"
